,Attribute,TP,FP,TN,FN,Precision,FPR,FNR,Accuracy,Demographic Parity
0,y,182,32,179,38,0.8504672897196262,0.15165876777251186,0.17272727272727273,0.8375870069605569,0.4965197215777262
1,l,195,33,188,23,0.8552631578947368,0.1493212669683258,0.10550458715596331,0.8724373576309795,0.5193621867881549
2,m,190,27,169,36,0.8755760368663594,0.1377551020408163,0.1592920353982301,0.8507109004739336,0.514218009478673
3,f,173,30,187,36,0.8522167487684729,0.1382488479262673,0.1722488038277512,0.8450704225352113,0.4765258215962441
4,x,207,35,182,73,0.8553719008264463,0.16129032258064516,0.26071428571428573,0.7826961770623743,0.4869215291750503
5,d,128,33,225,39,0.7950310559006211,0.12790697674418605,0.23353293413173654,0.8305882352941176,0.3788235294117647
