Attribute,Equal Precision,Equal FPR,Equal FNR,Accuracy Equity,Demographic Parity,Equalised Odds
y,1.0037131830077932,1.050533673965488,0.9387182410117855,1.0012814955854694,1.037163562417514,1.9892519149772734
l,1.009373219754078,1.0343419077802165,0.5733841501110133,1.0429428524964202,1.0848784296472898,1.6077260578912298
m,1.0333462809818421,0.9542235874651441,0.8657019642307103,1.0169702677557342,1.074132928447345,1.8199255516958543
f,1.0057778774783337,0.957643743692618,0.9361179134743567,1.0102274384862173,0.9953989685248076,1.8937616571669746
x,1.009501557099247,1.1172510343080542,1.4168999013768115,0.9356630323122347,1.0171142169584944,2.534150935684866
d,0.9382878816787069,0.8860060527884802,1.269177829795323,0.9929149133639241,0.7913118940045488,2.155183882583803
